Cust id,Age,Gender,Profession,Salary,Expenditure Allowance,No.of ppl in family,Recency,Frequency,Monetary Value,Frequently purchased product,Average views of the product,Spending score
915,26,Male,Teacher,297995,64312,1,18,13,6328,Product A,6.800477209,31
916,46,Female,Manager,282442,40537,3,85,25,9459,Product A,2.740503198,68
917,24,Male,Teacher,176004,63846,1,24,11,5774,Product E,4.349669021,30
918,22,Male,Teacher,249038,48391,7,48,2,6141,Product A,7.113402863,37
919,56,Female,Manager,37228,38904,10,99,25,4753,Product B,0.447238539,57
920,31,Male,Engineer,218284,71993,3,73,7,3238,Product A,2.426089692,37
921,37,Male,Manager,190604,22144,2,73,11,5750,Product D,5.052263019,47
922,18,Female,Doctor,137760,15367,2,1,14,3725,Product E,9.890705538,17
923,30,Male,Teacher,279698,20053,4,30,18,1211,Product E,0.836604566,20
924,63,Female,Doctor,51227,40410,4,7,5,8101,Product D,4.434025615,31
925,47,Female,Engineer,198012,31141,9,30,9,6825,Product B,9.091064436,35
926,33,Male,Manager,226885,15324,1,0,0,6947,Product C,8.366254169,23
927,63,Male,Manager,199637,35626,10,0,25,3197,Product A,5.185648595,18
928,46,Female,Manager,211065,36941,2,13,3,6416,Product B,3.758118371,26
929,50,Female,Engineer,65124,38693,8,27,21,7263,Product E,2.232197954,40
930,61,Female,Engineer,206383,71693,10,13,7,1887,Product D,2.05068537,12
931,36,Male,Teacher,122590,61520,1,59,3,1532,Product E,3.655848896,25
932,61,Female,Teacher,168830,20969,9,33,11,9758,Product A,7.779821642,47
933,20,Female,Manager,250183,70638,7,95,11,7917,Product E,9.830236782,61
934,29,Male,Engineer,199211,59215,7,62,3,1250,Product D,4.299925497,25
935,44,Male,Engineer,289933,73362,7,10,4,4428,Product E,7.975562941,19
936,39,Male,Manager,281587,40517,8,20,16,1930,Product E,0.729129168,18
937,50,Male,Teacher,201450,26375,3,59,5,9292,Product C,0.409250592,52
938,47,Male,Teacher,156772,60582,1,42,25,2864,Product D,7.734496276,31
939,25,Female,Teacher,55197,16374,7,2,12,8317,Product A,7.110405375,32
940,28,Female,Engineer,176318,45135,2,92,5,7596,Product C,9.615483209,57
941,37,Female,Doctor,107145,48305,6,14,23,9456,Product B,8.656131091,43
942,24,Female,Teacher,62756,69610,8,27,13,9146,Product A,1.021403157,43
943,28,Female,Manager,201325,51702,6,29,16,2508,Product E,7.437252818,23
944,52,Female,Doctor,89644,46962,3,60,16,2566,Product B,6.196330497,33
945,62,Female,Engineer,98790,26685,10,83,6,6311,Product E,4.457345966,50
946,23,Female,Engineer,149672,35720,4,68,3,5640,Product A,5.753500152,42
947,62,Female,Engineer,295086,66151,10,4,22,4323,Product B,3.964147234,23
948,57,Female,Manager,47845,74618,9,35,6,3500,Product A,5.03376241,25
949,62,Female,Manager,175630,59003,1,82,1,7682,Product A,6.935825938,53
950,32,Female,Manager,40499,39889,8,41,7,2956,Product A,6.281280201,25
951,51,Male,Teacher,99638,28382,1,47,18,1054,Product C,9.20413934,25
952,21,Female,Engineer,203622,56054,9,86,0,8494,Product A,9.679092011,56
953,26,Female,Engineer,146347,54798,10,84,17,6608,Product D,4.923354764,55
954,45,Female,Doctor,236413,71773,5,100,18,7918,Product B,0.689765922,65
955,52,Female,Teacher,244949,31095,3,72,17,3529,Product C,7.317613088,41
956,54,Male,Teacher,235531,33379,8,49,7,6587,Product D,6.714560373,40
957,48,Male,Teacher,222820,74748,1,83,8,7943,Product C,5.475662516,56
958,38,Male,Teacher,146330,59382,7,36,12,6198,Product C,8.057864806,36
959,42,Female,Engineer,256924,23098,3,42,12,4008,Product E,6.209256514,31
960,38,Female,Doctor,242141,73158,2,80,16,2279,Product B,4.23549038,39
961,62,Female,Teacher,74991,63391,1,9,16,9920,Product B,3.654923411,41
962,47,Female,Doctor,299726,22347,7,82,7,7747,Product D,7.992720096,55
963,29,Male,Doctor,221641,46148,2,56,2,9596,Product A,3.654573851,51
964,60,Male,Doctor,60826,34420,6,10,18,9852,Product D,7.581545597,42
965,34,Male,Engineer,163231,61807,3,58,9,3956,Product C,0.557677032,35
966,27,Female,Teacher,58465,39235,1,27,3,9365,Product D,8.620436093,41
967,44,Male,Engineer,250268,73079,7,84,19,2341,Product E,4.091646712,42
968,56,Male,Doctor,154350,65972,2,0,8,4350,Product D,5.204212105,17
969,55,Female,Teacher,78253,54657,4,88,3,2436,Product B,0.43167083,38
970,18,Male,Doctor,68860,17680,8,57,2,2241,Product E,4.211031377,27
971,30,Male,Engineer,125906,39859,4,96,22,8703,Product A,7.147722025,68
972,19,Female,Teacher,275833,58465,5,16,4,8504,Product E,1.288027495,35
973,59,Male,Engineer,147284,31840,5,79,22,4874,Product E,8.297633084,49
974,61,Female,Engineer,259926,39194,1,6,22,8555,Product D,2.241695723,37
975,52,Male,Manager,42039,62676,8,29,25,3192,Product B,4.096743033,28
976,18,Female,Engineer,30731,62383,7,16,15,6503,Product E,1.752885065,32
977,65,Female,Engineer,73887,21632,5,23,0,4058,Product B,1.944766223,21
978,34,Male,Teacher,163670,66310,2,24,10,2408,Product D,0.629094357,19
979,44,Female,Teacher,54555,21802,2,76,20,3352,Product E,5.304165155,43
980,37,Female,Engineer,124163,69700,7,43,0,1453,Product E,3.73610851,19
981,46,Female,Teacher,259133,22092,1,54,24,3539,Product D,7.956409558,37
982,47,Female,Manager,143407,69581,5,32,18,9748,Product A,7.081317147,49
983,51,Male,Teacher,78691,17421,2,94,20,8026,Product E,7.037040553,64
984,44,Male,Doctor,243895,17824,2,16,15,6537,Product D,0.290659847,32
985,24,Male,Engineer,292529,29727,3,75,9,7773,Product D,2.439143242,53
986,27,Male,Engineer,108244,25407,4,6,2,1250,Product A,7.281305728,6
987,31,Male,Engineer,259989,18302,1,78,25,7132,Product E,7.803672812,58
988,35,Male,Teacher,296861,16645,7,3,10,9542,Product D,8.670219026,36
989,54,Female,Doctor,199612,64993,9,10,11,2018,Product E,5.651385663,13
990,18,Male,Doctor,234030,36141,10,10,1,5584,Product A,5.367118189,22
991,25,Female,Engineer,62486,19342,10,50,8,6385,Product E,7.864723226,40
992,61,Male,Teacher,69703,49775,5,51,6,4717,Product E,3.214516018,34
993,65,Male,Engineer,191985,29788,2,11,22,1040,Product C,6.809610894,14
994,29,Male,Doctor,215172,56410,9,82,24,8648,Product D,7.37536812,64
995,45,Male,Manager,199590,71145,4,61,0,9608,Product D,4.65804049,52
996,38,Female,Manager,93776,28666,7,22,1,7850,Product C,9.470017852,33
997,26,Female,Manager,119248,42730,6,59,5,1552,Product A,6.257210819,26
998,24,Female,Engineer,137656,38668,10,67,1,6751,Product B,3.911311346,45
999,55,Male,Manager,252487,39885,10,80,16,7575,Product E,0.059906614,57
1000,54,Male,Teacher,120759,31734,1,51,6,3242,Product C,3.449835237,29
1001,33,Female,Doctor,282210,49404,1,86,19,9997,Product B,9.873418495,68
1002,55,Female,Engineer,74909,20541,1,4,9,1472,Product C,9.909554458,9
1003,22,Male,Manager,232165,18915,3,59,16,7696,Product D,4.903341279,50
1004,23,Male,Teacher,292580,45314,8,20,15,9751,Product A,3.450737116,44
1005,55,Female,Doctor,76925,17920,7,91,4,7615,Product E,0.173634672,57
1006,18,Female,Manager,277350,39071,6,46,18,9274,Product B,5.866704314,52
1007,36,Male,Teacher,192811,15833,9,16,14,4764,Product A,8.545631545,25
1008,28,Female,Engineer,102227,33724,1,58,13,4187,Product E,4.546970683,37
1009,48,Female,Teacher,270305,74630,4,59,9,4831,Product B,0.682496472,38
1010,42,Female,Engineer,106291,25118,1,60,8,4429,Product E,8.127934897,37
1011,35,Female,Manager,158162,73733,1,99,11,6898,Product A,5.56570183,59
1012,45,Female,Manager,141098,37837,9,74,1,1368,Product A,2.277105555,29
1013,32,Female,Manager,162403,68549,7,2,12,5195,Product C,6.956207999,21
1014,38,Female,Manager,141114,40166,6,57,12,1633,Product E,6.970833286,28
1015,54,Female,Doctor,263092,33996,5,64,13,7761,Product E,3.444146984,51
1016,47,Female,Doctor,78215,18728,10,65,16,6739,Product A,1.545216231,49
1017,32,Male,Teacher,81510,22804,7,3,22,4463,Product B,8.787975948,23
1018,39,Female,Teacher,168649,74328,3,86,10,3341,Product A,5.235574757,43
1019,35,Female,Manager,166569,64591,9,66,12,9639,Product A,1.146570414,58
1020,31,Male,Teacher,202403,15846,3,90,17,2945,Product D,6.283187248,45
1021,36,Male,Teacher,183386,66085,8,43,17,5361,Product A,5.416570404,37
1022,25,Female,Manager,199949,38655,10,6,19,6656,Product C,4.566521427,30
1023,59,Female,Engineer,232478,52106,4,95,25,7076,Product D,8.900677457,63
1024,27,Female,Manager,246817,57801,5,44,22,7981,Product B,9.502525605,48
1025,45,Female,Manager,97217,30830,4,48,25,5575,Product C,1.300713329,42
1026,46,Male,Manager,185227,69003,7,17,12,2614,Product A,1.861241375,18
1027,29,Female,Doctor,265326,28704,7,14,8,1271,Product C,5.595766749,11
1028,21,Female,Teacher,187584,25873,5,60,9,3443,Product E,0.30935431,34
1029,40,Male,Doctor,71339,66513,9,100,9,1112,Product B,1.692477155,40
1030,33,Female,Manager,95782,46551,1,47,11,1348,Product C,3.44587414,23
1031,35,Male,Engineer,143745,55419,10,76,2,1625,Product E,5.556417905,31
1032,48,Male,Teacher,222068,48161,2,10,3,8550,Product D,8.524351747,32
1033,42,Male,Manager,184787,54479,10,72,13,1795,Product C,1.131614734,34
1034,56,Male,Doctor,298987,44306,1,3,12,2356,Product E,1.22155361,12
1035,35,Female,Doctor,295819,44573,10,48,0,4657,Product A,1.333233816,31
1036,27,Female,Engineer,107561,32133,2,86,3,3052,Product E,0.964520821,39
1037,43,Female,Manager,178927,33931,10,84,9,8328,Product D,9.505151516,58
1038,45,Female,Teacher,251198,15019,10,3,0,2343,Product D,0.757089484,8
1039,62,Male,Doctor,285143,35304,8,68,11,5745,Product D,3.521585594,45
1040,45,Male,Teacher,48999,21384,7,71,13,7932,Product E,6.160058734,54
1041,59,Male,Manager,123603,67083,3,45,4,5538,Product E,2.690255589,34
1042,56,Female,Teacher,276676,23954,1,7,8,7635,Product A,7.327675534,30
1043,46,Female,Teacher,157090,48861,3,84,22,9554,Product D,1.086188683,67
1044,27,Male,Manager,160690,34991,5,74,10,3387,Product A,4.639288956,39
1045,21,Male,Teacher,42424,64781,1,57,0,5017,Product A,9.234471621,35
1046,42,Male,Manager,126401,23811,6,17,16,1230,Product A,1.542274114,15
1047,65,Female,Engineer,123863,62476,4,49,0,3198,Product A,1.728473954,26
1048,46,Male,Engineer,299588,31030,4,24,15,4763,Product E,2.370700125,28
1049,20,Female,Doctor,73535,47521,8,21,10,9681,Product E,2.959306394,42
1050,65,Male,Engineer,87132,34846,10,88,6,9503,Product B,7.996256451,63
1051,54,Female,Engineer,131881,69462,4,46,13,5399,Product E,1.185036316,37
1052,59,Male,Engineer,114877,70257,10,79,4,5528,Product A,3.734349956,46
1053,29,Female,Engineer,254613,74331,8,19,13,4722,Product B,6.435928767,26
1054,51,Male,Manager,109597,60054,1,13,19,3050,Product D,8.69979133,20
1055,45,Female,Engineer,133197,55623,7,49,15,9867,Product C,4.844117139,54
1056,43,Male,Manager,231599,47002,7,77,24,8869,Product D,1.159818026,63
1057,65,Female,Manager,159835,33771,5,89,16,9379,Product E,1.909379232,66
1058,34,Female,Doctor,187764,42534,2,62,4,6054,Product C,9.042998848,42
1059,43,Male,Engineer,123854,53226,1,35,6,7732,Product C,8.391728301,39
1060,55,Male,Teacher,51412,38948,9,42,25,3377,Product E,1.135599781,33
1061,51,Male,Manager,256091,57111,8,94,5,2742,Product C,7.918760839,42
1062,31,Female,Doctor,194687,18854,2,5,6,4536,Product E,0.93935042,18
1063,21,Female,Teacher,203020,72051,8,50,0,9411,Product E,7.353846819,48
1064,44,Female,Teacher,234111,54621,3,84,11,5073,Product A,9.99240574,48
1065,21,Female,Teacher,86053,54214,2,74,2,7525,Product B,5.004604226,50
1066,35,Male,Teacher,210485,47759,6,66,20,8335,Product A,3.4173644,56
1067,40,Male,Engineer,267393,23308,7,59,18,1351,Product D,2.022996775,30
1068,25,Male,Doctor,170348,26207,2,10,13,3053,Product C,6.259000337,17
1069,50,Male,Manager,185694,47253,1,99,25,2460,Product E,2.45918489,49
1070,23,Male,Doctor,179838,18697,9,39,5,6147,Product A,9.778711793,35
1071,25,Female,Doctor,99720,50758,1,21,25,8150,Product A,4.04997671,42
1072,20,Female,Teacher,258425,41305,7,8,9,9871,Product D,5.488479038,38
1073,35,Male,Doctor,106692,45644,7,29,3,2267,Product D,1.722734037,18
1074,56,Female,Doctor,216653,23005,1,80,12,7461,Product A,1.604722657,55
1075,57,Female,Doctor,120828,20727,1,68,8,4305,Product B,1.2394657,39
1076,36,Male,Manager,276308,74941,7,84,6,4661,Product A,9.99311419,45
1077,41,Male,Engineer,113839,23715,2,38,18,6555,Product A,5.94627189,40
1078,35,Male,Manager,60388,23238,3,33,0,8272,Product B,0.664202341,38
1079,57,Female,Doctor,57937,42482,10,11,18,1262,Product B,7.144770976,13
1080,23,Male,Engineer,73958,48678,4,14,8,8041,Product A,0.141892829,34
1081,48,Male,Engineer,78440,27190,10,48,6,6983,Product B,1.074468901,41
1082,44,Female,Doctor,280669,32288,10,90,11,8877,Product D,5.577816589,63
1083,65,Male,Engineer,253545,32978,9,56,16,7317,Product A,5.828771434,48
1084,30,Male,Engineer,51350,15614,6,35,6,5552,Product B,9.845754216,32
1085,51,Male,Engineer,119489,28323,9,58,0,2154,Product E,7.064211873,26
1086,48,Male,Engineer,236297,17699,5,51,0,4115,Product C,4.610904219,30
1087,39,Female,Engineer,83836,42750,3,73,3,5281,Product D,5.905454748,42
1088,48,Female,Teacher,79818,18130,2,18,12,7667,Product C,4.296827021,35
1089,50,Male,Teacher,172678,56518,4,12,11,8916,Product D,9.389562587,37
1090,27,Male,Doctor,293742,55169,4,87,3,7810,Product D,8.875596557,56
1091,20,Female,Engineer,170692,66501,1,95,7,2775,Product B,3.092474648,43
1092,34,Female,Doctor,139900,42670,7,38,20,8859,Product C,5.92699436,48
1093,38,Male,Teacher,55073,15021,2,13,12,6519,Product D,8.290703873,30
1094,26,Female,Doctor,281908,74911,3,64,10,4386,Product B,5.744060976,39
1095,27,Female,Manager,169588,39699,3,66,11,9904,Product E,2.518675404,58
1096,54,Female,Doctor,38497,45571,3,9,8,3304,Product D,1.569782042,16
1097,47,Female,Teacher,211457,69382,8,72,20,1759,Product E,8.67257872,36
1098,35,Male,Doctor,297926,50408,5,96,5,4668,Product D,7.506032209,49
1099,41,Female,Teacher,183345,26714,6,48,16,1975,Product C,5.260703769,27
1100,18,Female,Doctor,77724,52952,7,8,20,8020,Product D,0.433735679,36
1101,40,Male,Teacher,246365,52448,2,93,1,5886,Product A,8.735555368,50
1102,56,Female,Engineer,109929,22919,10,82,1,9016,Product B,6.978793619,57
1103,49,Male,Doctor,89915,33340,5,17,9,7917,Product C,1.861696931,35
1104,55,Female,Manager,99989,45942,7,42,25,4676,Product B,8.357100674,37
1105,65,Female,Engineer,184446,39218,4,21,17,2870,Product D,6.666213462,22
1106,25,Female,Manager,127920,51925,4,95,10,3540,Product E,6.388042066,46
1107,56,Male,Engineer,56284,56494,7,66,15,5483,Product E,1.026902601,45
1108,62,Female,Manager,95565,50642,7,47,15,9417,Product A,8.070660842,52
1109,48,Male,Engineer,86545,48366,8,49,6,7386,Product B,5.657722704,42
1110,30,Male,Doctor,279287,72650,5,46,12,5443,Product E,1.711876993,37
1111,18,Female,Doctor,195124,22577,3,69,1,9276,Product C,6.673928824,54
1112,36,Male,Doctor,282399,64220,5,21,7,8550,Product B,6.123028624,37
1113,65,Male,Doctor,200621,51311,7,67,23,5401,Product C,8.556119667,48
1114,29,Female,Manager,231527,16235,9,56,9,2787,Product B,7.757686904,30
1115,50,Male,Doctor,297455,60181,10,37,23,6075,Product A,1.534333119,40
1116,28,Female,Doctor,116088,47088,9,59,18,7255,Product B,6.345901753,49
1117,59,Female,Doctor,194358,27835,1,14,11,8462,Product D,0.077583634,36
1118,40,Male,Manager,152815,71775,7,25,14,3493,Product C,8.306132016,24
1119,42,Female,Doctor,156819,59192,3,96,25,7119,Product E,0.363782816,64
1120,23,Male,Doctor,278650,55457,10,93,18,6953,Product A,3.752981754,60
1121,56,Female,Teacher,85861,39517,5,9,14,6363,Product D,6.251099789,28
1122,47,Female,Manager,229296,37309,10,13,3,4128,Product D,6.97427779,19
1123,59,Male,Engineer,163223,24529,9,99,22,6485,Product A,3.13268699,61
1124,61,Female,Teacher,86081,21644,7,95,24,8964,Product D,9.483446,69
1125,28,Female,Engineer,166886,69031,5,30,3,9525,Product A,6.143258107,42
1126,18,Male,Doctor,208480,31136,5,8,4,3331,Product C,1.625132754,15
1127,54,Male,Manager,281585,47865,9,90,0,7509,Product D,2.254246538,55
1128,22,Female,Engineer,253560,40795,5,91,10,2179,Product D,0.499020115,40
1129,46,Female,Doctor,285522,40467,9,83,5,8403,Product D,1.611383954,57
1130,32,Male,Engineer,290177,73245,2,68,15,2134,Product D,0.196286408,34
1131,39,Male,Manager,31717,32988,1,58,13,1780,Product B,2.541525989,29
1132,30,Male,Doctor,255027,69230,8,89,5,5190,Product C,9.935233186,48
1133,30,Male,Teacher,54917,74430,4,95,3,9220,Product C,1.190928302,63
1134,59,Male,Teacher,213301,29029,3,64,16,8710,Product B,0.423049051,55
1135,36,Female,Manager,192840,34252,2,35,17,3859,Product C,0.85495678,30
1136,47,Male,Manager,241534,74062,9,24,2,6101,Product C,3.609345481,29
1137,43,Female,Manager,83262,36679,7,65,14,2854,Product E,9.987909131,35
1138,52,Female,Doctor,297166,30844,1,77,10,6248,Product A,2.768276968,49
1139,63,Male,Manager,134726,16857,6,76,12,6753,Product A,9.006131265,51
1140,21,Male,Teacher,231683,68798,9,75,21,7903,Product C,5.474280972,58
1141,47,Male,Engineer,284714,18350,9,34,14,7568,Product A,0.331707255,41
1142,59,Female,Engineer,73123,46448,9,20,20,8111,Product E,4.277188753,40
1143,54,Male,Teacher,64945,60734,1,65,15,8105,Product A,5.826142808,53
1144,57,Female,Teacher,45753,49633,2,98,4,4855,Product A,4.101521993,50
1145,27,Male,Engineer,132624,70002,6,16,7,1575,Product A,1.873194227,12
1146,51,Female,Doctor,215902,58857,7,83,2,8649,Product E,2.617343835,57
1147,41,Female,Manager,156052,58537,3,31,8,5749,Product D,3.95941428,32
1148,45,Male,Engineer,221620,32808,8,84,8,5864,Product E,6.116963189,50
1149,20,Male,Doctor,129839,38242,5,47,7,2638,Product A,9.03379938,26
1150,26,Male,Manager,86338,31628,9,27,22,2293,Product A,0.785554422,23
1151,40,Male,Doctor,282687,41342,4,38,9,5403,Product C,2.76508685,33
1152,50,Male,Engineer,103611,69247,1,55,6,9786,Product E,1.020265351,52
1153,39,Male,Doctor,276888,30213,8,69,6,6935,Product E,1.173914297,48
1154,63,Female,Teacher,108284,35145,5,77,21,2327,Product A,1.857174463,40
1155,65,Male,Teacher,215371,62967,4,38,17,4810,Product E,9.689874749,34
1156,52,Female,Doctor,98959,23864,5,88,24,2059,Product C,1.151322864,44
1157,52,Female,Doctor,190151,27264,7,72,14,7661,Product E,8.05809282,54
1158,22,Female,Teacher,168347,27504,6,28,16,8702,Product E,1.960814586,43
1159,39,Male,Manager,110578,17005,6,25,2,8769,Product E,0.832514833,38
1160,25,Male,Doctor,189233,50404,8,23,5,8344,Product A,1.511256838,37
1161,65,Male,Doctor,172327,24791,5,93,19,6147,Product A,0.54400039,57
1162,41,Female,Engineer,137716,15238,10,84,11,1904,Product A,9.251590203,38
1163,19,Female,Manager,129657,41342,4,26,16,5526,Product E,7.803729262,32
1164,58,Male,Engineer,126385,68232,1,39,17,6253,Product E,4.86269826,39
1165,61,Female,Manager,173441,35581,8,47,18,9256,Product E,2.865926309,52
1166,35,Male,Doctor,213938,26560,5,87,10,5763,Product C,2.101053428,51
1167,55,Female,Doctor,281770,35896,1,32,3,4807,Product A,1.256213759,27
1168,57,Male,Manager,137754,69341,6,14,12,9253,Product B,1.420323542,39
1169,27,Female,Engineer,200461,30434,4,73,6,7643,Product C,6.40039876,51
1170,41,Female,Teacher,135285,57992,10,75,1,1174,Product B,5.74207923,29
1171,19,Male,Engineer,252587,26324,4,1,21,7203,Product A,6.201215683,31
1172,40,Female,Manager,200601,17677,9,88,15,6810,Product D,8.44041877,57
1173,49,Female,Engineer,53633,62143,3,57,6,9678,Product C,5.513916498,53
1174,45,Male,Doctor,181876,40743,7,22,23,5420,Product B,9.572128256,33
1175,39,Female,Teacher,76434,43376,4,60,17,2937,Product C,5.886262501,35
1176,19,Male,Doctor,249662,44902,7,7,21,4209,Product E,7.357658806,23
1177,26,Female,Engineer,185023,48343,5,86,1,8532,Product C,6.1874905,57
1178,22,Male,Doctor,127913,66780,1,33,10,6055,Product E,2.189740898,34
1179,18,Male,Engineer,125604,66467,7,78,6,1537,Product D,1.501149633,33
1180,18,Female,Teacher,69438,53803,3,57,5,6532,Product D,9.059775313,42
1181,26,Female,Teacher,37470,36958,10,40,0,1038,Product D,4.977632083,16
1182,40,Female,Doctor,105429,67778,6,6,1,3045,Product A,0.285446049,12
1183,24,Female,Teacher,54676,23770,10,73,7,5386,Product B,7.009746666,44
1184,33,Male,Doctor,83392,40228,3,29,20,3675,Product A,7.499612873,28
1185,57,Female,Doctor,249035,45661,10,37,8,6344,Product C,6.465191143,36
1186,58,Male,Doctor,169802,66219,4,91,14,5465,Product D,7.066247609,53
1187,32,Female,Teacher,103214,51604,1,91,7,5521,Product A,7.730814423,51
1188,25,Female,Manager,139671,55551,10,16,18,7435,Product E,2.497127455,36
1189,32,Female,Doctor,175567,56468,9,95,6,7713,Product B,2.235201922,59
1190,52,Male,Engineer,292728,72740,3,89,25,5739,Product B,9.777137392,57
1191,46,Male,Teacher,272742,42650,9,100,1,4712,Product B,0.999602954,49
1192,51,Female,Manager,295437,61754,1,45,1,5042,Product B,3.27046491,32
1193,19,Male,Engineer,152124,45700,6,25,9,2371,Product B,9.535676808,19
1194,40,Female,Teacher,185991,54874,10,87,1,4323,Product E,6.445105442,43
1195,21,Male,Engineer,299753,65894,7,39,16,1778,Product D,8.38229933,24
1196,61,Male,Manager,288748,44132,5,38,2,4388,Product A,9.235195631,27
1197,65,Male,Doctor,106495,49013,10,41,5,5594,Product C,8.058249033,33
1198,52,Male,Engineer,158356,71369,2,35,25,1450,Product D,0.297482533,24
1199,41,Female,Teacher,47582,44831,2,78,20,2388,Product C,7.68637506,40
1200,34,Male,Teacher,143810,20390,9,25,15,7886,Product D,2.989491335,39
1201,48,Male,Engineer,187251,53216,1,92,17,3668,Product D,3.11015571,48
1202,56,Female,Teacher,63965,66221,10,3,9,1409,Product A,6.053082045,8
1203,18,Female,Teacher,145298,32881,7,12,23,1166,Product C,9.186338769,15
1204,20,Female,Doctor,87630,60976,1,44,14,1347,Product C,8.387307956,23
1205,31,Female,Engineer,157146,17374,10,59,0,1584,Product B,0.122156948,24
1206,27,Male,Doctor,40078,15884,4,36,11,5534,Product E,2.971708065,34
1207,35,Female,Manager,79373,17630,3,92,0,2162,Product D,8.756968294,37
1208,57,Female,Manager,31706,38561,8,2,13,5684,Product D,2.841319151,23
1209,32,Male,Doctor,39056,25520,6,0,23,5024,Product D,1.348435326,24
1210,45,Male,Doctor,275028,67478,3,44,12,3124,Product A,8.072821584,29
1211,53,Male,Manager,44185,16961,4,76,24,3526,Product E,3.328826359,45
1212,62,Male,Doctor,184519,46093,3,8,17,8022,Product B,9.246512893,35
1213,47,Male,Doctor,165803,58914,10,10,12,6558,Product D,5.005124365,29
1214,49,Female,Engineer,144701,21296,3,94,10,7191,Product A,9.506436234,58
1215,36,Female,Manager,136005,16316,4,91,23,9155,Product D,0.146586697,68
1216,31,Male,Engineer,118623,49080,2,74,3,3665,Product E,6.188403737,37
1217,20,Male,Manager,105791,38082,5,56,5,6840,Product C,3.259546179,43
1218,18,Female,Engineer,47949,63572,10,4,25,1241,Product D,4.551706386,13
1219,37,Female,Manager,117569,29004,9,75,21,5421,Product E,7.625454627,50
1220,30,Female,Engineer,261379,18945,6,61,2,8559,Product E,3.648609958,49
1221,32,Female,Engineer,69177,56332,3,2,8,3317,Product C,5.688835173,14
1222,63,Male,Manager,192275,37763,3,95,15,5472,Product E,0.690901137,54
1223,47,Female,Engineer,264257,74469,2,98,6,4289,Product D,9.130662786,48
1224,49,Female,Teacher,256152,61329,10,53,1,2195,Product B,2.835593691,25
1225,60,Male,Manager,146718,27909,7,60,13,3102,Product D,4.03183015,34
1226,41,Female,Manager,137046,70492,8,31,21,4971,Product A,5.637925499,33
1227,45,Female,Doctor,132834,64100,3,82,8,1433,Product A,0.14672606,34
1228,48,Female,Manager,94560,57228,1,18,6,5063,Product B,8.276491875,24
1229,37,Male,Manager,129657,49960,5,3,20,9375,Product D,3.188177246,38
1230,47,Male,Engineer,97062,61443,6,22,8,2766,Product B,6.171769223,19
1231,23,Female,Doctor,173146,62119,1,10,3,9822,Product C,0.504653649,37
1232,22,Male,Manager,35658,72162,9,7,7,5634,Product A,5.315080344,23
1233,36,Male,Engineer,189241,70723,4,5,9,5440,Product B,4.056213022,22
1234,60,Female,Engineer,217671,59159,7,15,22,5559,Product E,1.202037363,30
1235,40,Female,Manager,204479,15292,6,60,3,1783,Product E,4.309704733,26
1236,49,Female,Doctor,263145,29226,4,97,13,7244,Product E,5.985407823,60
1237,60,Male,Engineer,74140,65434,1,52,16,9838,Product E,5.905678022,55
1238,19,Female,Manager,277337,43500,9,75,15,4208,Product E,3.570313742,44
1239,38,Male,Engineer,50672,34796,4,25,20,9894,Product A,3.470369963,47
1240,21,Female,Engineer,130870,69157,2,9,21,7639,Product B,5.963202963,35
1241,65,Male,Manager,91422,16417,4,74,8,5423,Product E,1.427611419,45
1242,29,Female,Doctor,299952,63119,8,71,1,6269,Product B,1.187387415,44
1243,36,Female,Manager,32447,34495,10,15,13,3036,Product A,1.566475967,19
1244,50,Female,Doctor,60444,49390,4,86,1,4945,Product D,0.095137282,45
1245,26,Male,Teacher,76035,66688,10,18,5,9313,Product A,7.179129513,38
1246,23,Male,Engineer,258036,70643,1,19,5,8306,Product B,5.866254664,35
1247,62,Female,Manager,63981,67058,3,9,6,5773,Product E,1.642029424,24
1248,59,Male,Doctor,130468,40964,9,36,14,9157,Product B,6.116382034,47
1249,31,Male,Teacher,44189,18501,8,66,5,3147,Product C,1.554953801,34
1250,65,Female,Doctor,220238,17561,1,10,14,9498,Product C,4.033639898,39
1251,22,Female,Doctor,223183,62488,8,24,17,6364,Product E,5.319826808,34
1252,50,Female,Doctor,156104,50405,2,8,1,5318,Product B,9.204688852,20
1253,41,Male,Teacher,128069,32084,7,73,19,1490,Product E,5.067513169,35
1254,46,Male,Teacher,98972,28269,7,100,25,7273,Product E,9.92040366,65
1255,59,Female,Engineer,251120,23295,10,57,17,4514,Product C,8.848442699,39
1256,57,Male,Engineer,271648,31324,7,14,7,6973,Product A,0.00767766,30
1257,20,Male,Doctor,112610,69358,4,32,0,4031,Product A,9.798760817,24
1258,60,Female,Doctor,242092,50827,1,40,18,5598,Product E,3.433396144,37
1259,58,Female,Doctor,277676,74360,10,87,23,6263,Product B,2.155522009,57
1260,46,Female,Manager,94224,26250,1,59,22,6456,Product C,3.426372038,48
1261,53,Male,Doctor,205358,64368,3,70,8,2007,Product B,2.193170723,32
1262,42,Male,Manager,166504,73532,3,10,25,1467,Product A,8.480661261,16
1263,32,Female,Engineer,190794,20314,4,96,16,5680,Product B,6.658530983,56
1264,18,Female,Engineer,281758,69956,3,70,2,5843,Product A,7.078885954,43
1265,34,Male,Teacher,127212,20441,9,68,1,6604,Product E,0.777506232,45
1266,34,Male,Teacher,195525,29078,3,32,23,4437,Product C,4.377759901,33
